video,frame_idx,true_label,stage1_detected,pred_label,pred_conf,correct_strict,pred_label_operational,correct_operational,operational_nothing_policy_applied,localization_failure,recognition_failure,stage1_latency_ms,roi_crop_ms,preprocess_ms,model_call_ms,postprocess_ms,component_sum_e2e_ms
A.MOV,0,A,True,X,0.4734417200088501,False,X,False,False,False,True,7144.13352699998,0.0200070003302244,3.69296199960445,1054.6853439996084,0.02334000009796,8202.555179999621
A.MOV,1,A,True,X,0.4826004803180694,False,X,False,False,False,True,16.098302000017384,0.01134500007538,0.5307439996613539,194.39264999982697,0.0204269999812822,211.0534679995624
A.MOV,2,A,True,X,0.3985320925712585,False,X,False,False,False,True,15.95690800002103,0.0069510001594608,0.4747989996758406,194.58069199981765,0.0223740003093553,211.04172399998333
A.MOV,3,A,True,N,0.3991303145885467,False,N,False,False,False,True,15.504192000008745,0.0075729999480245,0.546696000128577,208.7562489996344,0.0215740001294761,224.83628399984923
A.MOV,4,A,True,delete,0.2382871657609939,False,delete,False,False,False,True,14.527304000012007,0.0081749999480962,0.4513990002124046,210.6182430002264,0.0187680002454726,225.6238890006444
A.MOV,5,A,True,N,0.2313428223133087,False,N,False,False,False,True,14.215843999977553,0.0087570001596759,0.4984009997315297,192.46777999978804,0.0177900001290254,207.20857199978585
A.MOV,6,A,True,X,0.2589665353298187,False,X,False,False,False,True,14.174013999991075,0.008148000233632,0.4296060001252044,190.33694299969284,0.0196270002561504,204.9683380002989
A.MOV,7,A,True,B,0.3938364386558532,False,B,False,False,False,True,14.517385999994303,0.0062429999161395,0.4389609998725063,190.67394700005025,0.0201349998860678,205.6566719997193
A.MOV,8,A,True,N,0.266236662864685,False,N,False,False,False,True,14.56688499999359,0.0068909998844901,0.7875979999880656,193.53761399997893,0.0172620002558687,208.9162500001009
A.MOV,9,A,True,X,0.3796827793121338,False,X,False,False,False,True,14.002902000015638,0.0075779998951475,0.7647500001439766,192.207604000032,0.0181109999175532,207.00094500000432
A.MOV,10,A,True,X,0.3313016593456268,False,X,False,False,False,True,13.985996999991812,0.0253709999924467,0.7182780000221101,193.15693799990183,0.0192309998965356,207.9058149998048
A.MOV,11,A,True,X,0.4326105713844299,False,X,False,False,False,True,14.276258999984748,0.0069590000748576,0.8006000002751534,198.5971980002432,0.0181030000021564,213.6991190005801
A.MOV,12,A,True,X,0.5181289315223694,False,X,False,False,False,True,14.20429899999931,0.0076170003922015,0.4695970001193927,199.36503000008088,0.0175259997376997,214.06406900032948
A.MOV,13,A,True,X,0.3416129946708679,False,X,False,False,False,True,14.87058899999738,0.0092180002866371,0.7637460003024898,218.14591299971653,0.0209229997381044,233.8103890000412
A.MOV,14,A,True,X,0.3176957666873932,False,X,False,False,False,True,15.299986000002264,0.0139180001497152,0.8066810000855185,203.95871499977147,0.017545999980939,220.0968459999899
A.MOV,15,A,True,N,0.307288259267807,False,N,False,False,False,True,13.972996000006788,0.0060669999584206,0.7630879999851459,195.8460189998732,0.0173230000655166,210.6054929998891
A.MOV,16,A,True,N,0.2781306803226471,False,N,False,False,False,True,14.170427999999902,0.0065240001276833,0.4278480000721174,195.47744300007253,0.0170620000972121,210.09930500036944
A.MOV,17,A,True,X,0.3138627707958221,False,X,False,False,False,True,14.130785000020296,0.008591000096203,0.4966029996467114,193.41512100027103,0.0224509999497968,208.07355099998404
A.MOV,18,A,True,X,0.3928658962249756,False,X,False,False,False,True,14.422365000001491,0.0060509996728796,0.6517649999295827,194.27867500007773,0.0171729998328373,209.37602899951457
A.MOV,19,A,True,X,0.3182945847511291,False,X,False,False,False,True,14.28898600002526,0.0074660001700976,0.4690900000241527,192.56888799964145,0.0186659999599214,207.35309599982088
A.MOV,20,A,True,X,0.3102336227893829,False,X,False,False,False,True,14.052356999997071,0.0059129997680429,0.4473359999792592,194.8541779997868,0.0172320001183834,209.3770159996496
A.MOV,21,A,True,X,0.3598494827747345,False,X,False,False,False,True,14.350505000010116,0.0064500000007683,0.4429300001902447,194.5435039997392,0.0174920000972633,209.3608810000376
