video,frame_idx,true_label,stage1_detected,pred_label,pred_conf,correct_strict,pred_label_operational,correct_operational,operational_nothing_policy_applied,localization_failure,target_detection_failure,recognition_failure,target_x1,target_y1,target_x2,target_y2,target_iou_with_prev_detected_pair,target_iou_with_prev_zero_missing,stage1_latency_ms,roi_crop_ms,target_preprocess_ms,target_model_call_ms,target_postprocess_ms,component_sum_e2e_ms
A.MOV,0,A,True,G,0.814209520816803,False,G,False,False,False,False,True,901.0,220.1630096435547,1124.957000732422,444.0,,,7144.13352699998,0.006824000593042,0.2235440006188582,1865.7418579996367,0.4153290001340792,9010.521082000963
A.MOV,1,A,True,G,0.8643484711647034,False,G,False,False,False,False,True,896.0,220.15414428710932,1119.9639587402344,444.0,0.9563170164681716,0.9563170164681716,16.098302000017384,0.0059389994930825,0.3091109992965357,30.515809999997145,0.2362059994993615,47.16536799830351
A.MOV,2,A,True,G,0.8903669118881226,False,G,False,False,False,False,True,895.0,224.1370391845703,1118.9670715332031,448.0,0.9565468818559,0.9565468818559,15.95690800002103,0.0075990001278114,0.2476199997545336,30.26172400041105,0.2133029993274249,46.68715399964185
A.MOV,3,A,True,G,0.9602225422859192,False,G,False,False,False,False,True,882.0,226.14797973632807,1105.9566345214844,450.0,0.8752800532819566,0.8752800532819566,15.504192000008745,0.0074170002335449,0.2004239995585521,30.03735399943253,0.2181130003009457,45.96749999953431
A.MOV,4,A,True,G,0.9309285879135132,False,G,False,False,False,False,True,878.0,229.13015747070312,1101.9520111083984,453.0,0.9398760728618344,0.9398760728618344,14.527304000012007,0.0066689999584923,0.1858109999375301,29.9660139999105,0.2126700001099379,44.89846799992847
A.MOV,5,A,True,G,0.9326395988464355,False,G,False,False,False,False,True,872.0,234.1112670898437,1095.9454956054688,458.0,0.9074866740071792,0.9074866740071792,14.215843999977553,0.0073940000220318,0.1801320004233275,30.21515700038435,0.2063229994746507,44.82485000028191
A.MOV,6,A,True,G,0.9330095648765564,False,G,False,False,False,False,True,869.0,234.10812377929688,1092.9937133789062,458.0,0.97376090466652,0.97376090466652,14.174013999991075,0.006090999704611,0.2067739997073658,30.21117600019352,0.2039460005107685,44.80200100010734
A.MOV,7,A,True,G,0.9240575432777404,False,G,False,False,False,False,True,870.0,231.12451171875,1094.0,455.0,0.9650578305097218,0.9650578305097218,14.517385999994303,0.0058810001064557,0.2000559998123208,30.12152600058471,0.2225199996246374,45.067369000122426
A.MOV,8,A,True,G,0.9275106191635132,False,G,False,False,False,False,True,871.0,228.12335205078125,1095.0,452.0,0.9650084798054468,0.9650084798054468,14.56688499999359,0.0055480004448327,0.2004979996854672,29.16402000028029,0.2818929997374653,44.21884400014165
A.MOV,9,A,True,G,0.9319486021995544,False,G,False,False,False,False,True,877.0,224.14517211914065,1100.9621276855469,448.0,0.9156230763703046,0.9156230763703046,14.002902000015638,0.0060039992604288,0.21102500068082,28.992226999434934,0.2813669998431578,43.49352499923498
A.MOV,10,A,True,G,0.9575165510177612,False,G,False,False,False,False,True,885.0,223.1392364501953,1108.949462890625,447.0,0.9230519227832872,0.9230519227832872,13.985996999991812,0.0067450000642566,0.1888569995571742,29.020430999480595,0.2291920000061509,43.43122199909999
A.MOV,11,A,True,G,0.9543322324752808,False,G,False,False,False,False,True,888.0,222.1361846923828,1111.9501342773438,446.0,0.9650008420664132,0.9650008420664132,14.276258999984748,0.0068360004661371,0.1849609998316737,29.160093999962555,0.2239830000689835,43.8521330003141
A.MOV,12,A,True,G,0.9482078552246094,False,G,False,False,False,False,True,890.0,223.127197265625,1113.9235534667969,447.0,0.9737897945199386,0.9737897945199386,14.20429899999931,0.0067610008045448,0.1923829995575943,28.9334159997452,0.2144210002370528,43.551280000343695
A.MOV,13,A,True,G,0.9158923625946044,False,G,False,False,False,False,True,884.0,219.13552856445312,1107.9480895996094,443.0,0.9155063228507015,0.9155063228507015,14.87058899999738,0.0066760003392118,0.1851019997047842,28.89021499959199,0.3020109998033149,44.25459299943668
A.MOV,14,A,True,G,0.8859965205192566,False,G,False,False,False,False,True,885.0,220.1359100341797,1109.0,444.0,0.9821054209514812,0.9821054209514812,15.299986000002264,0.0062059998526819,0.1843109994297265,28.96576799957984,0.2120150002156151,44.668285999080126
A.MOV,15,A,True,G,0.8932496309280396,False,G,False,False,False,False,True,883.0,221.13438415527344,1107.0,445.0,0.9736472873530442,0.9736472873530442,13.972996000006788,0.0058180003179586,0.1862350000010337,29.003067000303417,0.2120729996022419,43.38018900023144
A.MOV,16,A,True,G,0.9263896942138672,False,G,False,False,False,False,True,885.0,221.1339263916016,1109.0,445.0,0.9822988941120564,0.9822988941120564,14.170427999999902,0.0057239994930569,0.1841829998738831,28.79951500017341,0.2150150003217277,43.374864999861984
A.MOV,17,A,True,G,0.9281296133995056,False,G,False,False,False,False,True,882.0,220.14747619628903,1106.0,444.0,0.9650800116363044,0.9650800116363044,14.130785000020296,0.0069500001700362,0.1874440004030475,29.878233000090404,0.2206150002166396,44.42402700090042
A.MOV,18,A,True,G,0.9191923141479492,False,G,False,False,False,False,True,882.0,217.14340209960932,1105.9539489746094,441.0,0.9733361207943836,0.9733361207943836,14.422365000001491,0.0080419995356351,0.2054030001090723,32.28919199955271,0.3328100001454004,47.25781199934431
A.MOV,19,A,True,G,0.9061707258224488,False,G,False,False,False,False,True,885.0,216.1402740478516,1108.9520263671875,440.0,0.9650118580699852,0.9650118580699852,14.28898600002526,0.0066519996835268,0.2051820001724991,28.95343500040326,0.2028500002779765,43.65710500056253
